Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),76/288,1.747922605600199e-07,0.0004597381760775,0,0,2.096883317817667,32.62680752749309,TOP2A;MUS81;SMARCAL1;SMARCB1;FBH1;MCM10;TENT4A;HPF1;RUVBL2;TOP1MT;RUVBL1;PCLAF;POLI;POLL;KPNA2;NUDT15;POLH;MEN1;UPF1;RMI2;RFC3;ENDOG;RFC4;PARP1;LIG1;RMI1;KMT5C;RECQL;HUS1;SETMAR;LIG4;LIG3;AXIN2;MSH6;SUPV3L1;NEIL3;MSH3;GRWD1;TERF2IP;MCM5;DNA2;NEIL1;DNASE1L2;ASF1A;MCM2;CHRNA4;RECQL4;PURA;ORC4;NT5E;WRN;TERT;NTHL1;POLD1;POLD2;XRCC6;DUT;RRM1;XRCC5;INTS3;XRCC2;XRCC3;RPA1;FANCC;NOC3L;GTF2H3;GTF2H4;RAD50;RAD51;RPA3;UBE2T;CDK2;APLF;PWWP3A;CDK1;NABP1
GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),15/25,2.508967535760566e-07,0.0004597381760775,0,0,8.694794147669276,132.14543189660895,MVK;HMGCS1;INSIG1;MSMO1;DHCR24;HMGCR;LSS;TM7SF2;ACLY;NSDHL;PMVK;SC5D;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Cholesterol Metabolic Process (GO:0008203),27/67,3.2112096117177e-07,0.0004597381760775,0,0,3.921779979501196,58.63628926905126,MVK;INSIG1;AKR1D1;MSMO1;HMGCR;GBA2;CYP7A1;TSKU;TM7SF2;NSDHL;PMVK;SULT2A1;FDFT1;HMGCS1;OSBPL5;DHCR24;LSS;NR0B2;CYP27A1;ACLY;SQLE;SOAT2;FDX1;ANGPTL3;MVD;DHCR7;ABCG1
GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),14/24,1.0308273333768165e-06,0.0011068508492133,0,0,8.112380952380953,111.83037889041046,MVK;HMGCS1;INSIG1;DHCR24;MSMO1;HMGCR;LSS;TM7SF2;ACLY;NSDHL;PMVK;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),15/28,1.8478323182910795e-06,0.0013385038899039,0,0,6.687125395869867,88.28006803031091,MVK;HMGCS1;INSIG1;MSMO1;DHCR24;HMGCR;LSS;TM7SF2;ACLY;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Regulation Of Mitochondrial Translation (GO:0070129),13/22,2.072875229510953e-06,0.0013385038899039,0,0,8.367562053723223,109.50271930181322,COA3;TRUB2;TSFM;MRPS27;TRMT10C;SHMT2;UQCC2;FASTKD3;RMND1;LRPPRC;NGRN;MTG2;METTL8
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),33/98,2.1814964445466666e-06,0.0013385038899039,0,0,2.9514286466700024,38.473346571819015,MRPS15;GFM2;MRPL18;MRPL19;MRPL39;MRPL14;MTIF3;MRPL35;MRPL4;MTRF1;MRPL1;MRPL9;EARS2;RARS2;PTCD3;TSFM;MRPS27;MRPS25;MRPS22;MRPL49;GATC;MRPS2;MRPS21;GATB;MRPL45;MRPS5;TUFM;MRPL22;MRPL44;MRPL50;MRPL51;MTRF1L;DAP3
GO_Biological_Process_2023,DNA Repair (GO:0006281),72/291,4.703169004033784e-06,0.0025250138590406,0,0,1.9195573849971008,23.547736439410457,H2AX;MUS81;SMARCAL1;DCLRE1A;FBH1;CETN2;TENT4A;HPF1;EME2;TNKS1BP1;EXO5;POLI;POLL;POLH;MEN1;UPF1;RMI2;RFC3;RFC4;PARP1;LIG1;DTX3L;KMT5C;RECQL;HUS1;LIG4;SIRT6;LIG3;PARP9;TRAIP;MSH6;NEIL3;MSH3;DNA2;NEIL1;MPND;ASF1A;CHRNA4;FAAP24;RECQL4;ATXN3;WRN;NTHL1;POLD1;MGME1;XRCC6;RRM1;CENPX;XRCC5;ERCC6L2;INTS3;XRCC2;XRCC3;RPA1;APEX2;FANCC;GTF2H3;MLH1;GTF2H4;MLH3;REC8;FANCF;SMUG1;RAD50;RAD51;TDP2;RPA3;UBE2T;APLF;PWWP3A;CDK1;NABP1
GO_Biological_Process_2023,Double-Strand Break Repair (GO:0006302),47/168,6.985570600380934e-06,0.0029616807154342,0,0,2.2614976104984548,26.847739495458224,H2AX;MUS81;DCLRE1A;SMARCAL1;SWSAP1;WDR48;FBH1;ATP23;ZMYND8;TENT4A;RECQL4;HPF1;WRN;PAXX;EME2;MEIOB;TNKS1BP1;POLL;CYREN;XRCC6;RMI2;DTX3L;PARP1;XRCC5;RMI1;INTS3;XRCC2;XRCC3;RECQL;RPA1;HUS1;LIG4;SETMAR;LIG3;SIRT6;PARP9;REC8;SFPQ;RAD50;RAD51;NPC1;TDP2;RPA3;APLF;NABP1;DNA2;MPND
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),33/103,7.400237734719089e-06,0.0029616807154342,0,0,2.739805350418154,32.36805611370692,MRPS15;FASTKD1;GFM2;MRPL18;FASTKD3;MRPL19;MRPL39;MRPL14;MRPL35;MRPL4;MRPL1;MRPL9;TEFM;RARS2;PTCD3;MRPS27;MRPS25;MRPS22;MTERF4;TWNK;MRPL49;GATC;MRPS2;MRPS21;GATB;MRPL45;MRPS5;MRPL22;MRPL44;MRPL50;MRPL51;TFAM;DAP3
