Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),39/159,6.739841535647955e-14,2.3987096025371067e-10,0,0,5.048604166666666,153.11484913638478,CD274;CD80;GSTP1;SERPINE1;TNFAIP3;CXCL1;PTPN22;TNFRSF11A;CXCL13;CXCL2;ZFP36;SBNO2;ZC3H12A;ANKRD1;PDE4B;CCL2;CD14;NOS3;IRAK3;NR1D1;PPBP;PDCD1LG2;SELE;SELP;CXCL10;IL1A;IL6;SLPI;CD6;TNIP2;TNFSF4;EHHADH;IL1B;TNIP3;MAPKAPK2;TRIB1;S100A9;S100A8;PF4
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),26/77,3.293947892292535e-13,5.729741652671441e-10,0,0,7.863504841342968,226.0090769201096,CCL11;ITGB2;CXCL1;CXCL13;CXCL2;TREM1;CCL8;CCL7;CCL5;CCL4;CXCR2;PDE4B;CCL3;CCL2;CCL17;CD177;FCER1G;CCL22;SYK;PPBP;CXCL10;KLF5;PECAM1;S100A9;S100A8;PF4
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),33/124,4.829790659739904e-13,5.729741652671441e-10,0,0,5.613963151276584,159.2052755271333,CD274;CD80;GSTP1;SERPINE1;TNFAIP3;CXCL1;PTPN22;CXCL13;CXCL2;ZFP36;SBNO2;CCL5;ZC3H12A;ANKRD1;PDE4B;CCL3;CCL2;CD14;LYN;TGFB1;NR1D1;PPBP;PDCD1LG2;CXCL10;IL1A;IL6;CD6;TNIP2;TNFSF4;EHHADH;IL1B;TNIP3;PF4
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),47/236,7.75341522221259e-13,6.898601193963646e-10,0,0,3.874525052377401,108.04296291756158,CEBPB;CCL11;NRROS;TNFAIP6;C5AR1;ITGB2;CXCR4;ADM;CXCL1;MEFV;CXCL13;AGER;CXCL2;THBS1;RELB;CCL8;CCL7;CCL5;CXCR2;CCL4;C3AR1;BDKRB2;CCL3;OLR1;CCL2;CD14;CCL17;TNFRSF4;CCR1;PLA2G2D;CCL22;TGFB1;VCAM1;PPBP;FOS;SELE;IL1A;CXCL10;IL6;TNFSF4;IL1B;MAPKAPK2;REL;ADAM8;S100A9;S100A8;PF4
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),24/70,1.82936496878151e-12,1.3021419847786784e-09,0,0,8.036500268384327,217.2029124268396,FCER1G;CCL11;CCL22;SYK;ITGB2;CXCL1;PPBP;CXCL13;CXCL2;TREM1;CXCL10;CCL8;KLF5;CCL7;CCL5;CCL4;CXCR2;PDE4B;CCL3;CCL2;S100A9;CCL17;S100A8;PF4
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),48/257,5.121314655718078e-12,2.622844908705606e-09,0,0,3.577452906367132,93.00522524253616,FOXC1;CCL11;CSF3R;EPO;PTPRJ;CSF2RB;CXCL1;TNFRSF11A;CXCL13;IL2RG;CXCL2;LRP8;IL18RAP;SOCS1;CCL8;CCL7;CCL5;CXCR2;CCL4;STAT4;CCL3;IL21R;CCL2;CD300LF;CCL17;CCR1;LYN;EGR1;FCER1G;CCL22;SYK;IL1R1;IL31RA;IRAK3;PPBP;OSMR;EREG;NFKBIA;IL1A;CXCL10;IL6;TNIP2;IL1B;TRAF5;IL17F;IL7R;PF4;BIRC3
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),24/73,5.158728395880652e-12,2.622844908705606e-09,0,0,7.543260267069791,196.05183117320632,FCER1G;CCL11;CCL22;SYK;ITGB2;CXCL1;PPBP;CXCL13;CXCL2;TREM1;CXCL10;CCL8;KLF5;CCL7;CCL5;CCL4;CXCR2;PDE4B;CCL3;CCL2;S100A9;CCL17;S100A8;PF4
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),21/59,1.9528311139636208e-11,8.68765741824566e-09,0,0,8.495009074410163,209.47975271274024,CCR1;RIPOR2;FOXC1;CCL11;CCL22;DUSP1;STK39;CXCL1;PPBP;CXCL13;CXCL2;CXCL10;CCL8;CCL7;CCL5;ZC3H12A;CCL4;CCL3;CCL2;CCL17;PF4
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),20/57,7.95546355763936e-11,3.14594386684872e-08,0,0,8.302773651420083,193.07748994071545,CCR1;LYN;FOXC1;CCL11;CCL22;MPL;STK39;CXCL1;PPBP;CXCL13;CXCL2;CXCL10;CCL8;CCL7;CCL5;CCL4;CCL3;CCL2;CCL17;PF4
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),38/205,1.050539967251967e-09,3.460619728503892e-07,0,0,3.522872656020182,72.83173383763952,FOXC1;BTG1;FLT1;ROCK2;SERPINE1;ECSCR;PTPRM;HSPB1;TNFAIP3;CXCL13;THBS1;HK2;GPNMB;ADAMTS1;ZC3H12A;HMOX1;EMILIN2;PRKCB;NOS3;SPHK1;NRG1;KLF4;DCN;RUNX1;RHOB;IL1A;CXCL10;IL6;LRG1;RGCC;IL1B;RHOJ;SPRY2;GHRL;IL17F;ANGPTL4;EPHA2;PF4
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),49/308,1.0695930602287947e-09,3.460619728503892e-07,0,0,2.9414944356120825,60.759472523803055,RIPOR2;CSF3R;AQP4;PTPRJ;ZFP36;ZC3H12A;ANKRD1;SOX9;DUSP1;IRAK3;OSMR;EREG;IL1A;IL1B;HCLS1;IRF8;NFAT5;FOXC1;CCL11;PDE1B;STK39;CXCR4;CSF2RB;IL2RG;LRP8;ZFP36L2;ZFP36L1;SBNO2;SOCS1;CCL8;CCL7;CCL5;CCL4;STAT4;CCL3;IL21R;CCL2;CCL17;CCR1;EGR1;CCL22;IL31RA;NR1D1;NFKBIA;NLRP12;IL6;IL7R;GSDME;PF4
