Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Chemical carcinogenesis,41/94,1.5495883126155738e-11,3.6845200976193155e-09,0,0,4.512711397832748,112.32340266485596,UGT2B1;MGST3;CYP3A11;GSTT2;GSTT1;CYP3A16;CYP2C38;CYP2C37;CYP2B9;ALDH3B3;ADH4;ADH1;CYP2B13;CYP2C55;CYP2C54;CYP2B10;UGT2A3;CYP2C50;CYP2C70;SULT2A1;GSTM4;CBR1;GSTM3;GSTM2;UGT2B34;GSTM1;UGT2B37;CYP3A44;CYP2C29;CYP2C68;CYP2C23;GSTA4;NAT1;GSTA3;NAT2;CYP1A2;CYP2C40;KYAT3;KYAT1;CYP2E1;GSTM6
KEGG_2019_Mouse,Drug metabolism,46/114,2.4728322802814207e-11,3.6845200976193155e-09,0,0,3.949490250020228,96.45868417493205,MAOB;UGT2B1;MAOA;MGST3;DPYS;GSTT2;GSTT1;ALDH3B3;ADH4;ADH1;CES2C;CES2E;CES2G;CES2H;UGT2A3;UPP2;TK1;GSTM4;GSTM3;GSTM2;DUT;UGT2B34;RRM1;GSTM1;RRM2;UGT2B37;FMO1;NME4;FMO2;FMO3;FMO4;FMO5;UCK1;CES1C;NAT1;NME6;GSTA4;CES1D;NAT2;GSTA3;CES1E;CES1F;CYP1A2;CYP2E1;UMPS;GSTM6
KEGG_2019_Mouse,Herpes simplex virus 1 infection,113/433,3.93091005454198e-10,3.9047039875117e-08,0,0,2.0789752727912707,45.02432583020786,ZFP568;ZFP689;ZFP964;ZFP688;ZFP324;ZFP729A;H2-BL;ZFP961;ZFP605;ZFP119A;ZFP119B;ZFP30;ZFP442;ZFP563;ZFP39;ZFP975;ZFP334;ZFP455;ZFP619;ZFP617;TICAM1;ZFP46;SRSF6;ZFP454;ZFP9;RSL1;ZFP748;ZFP626;ZFP108;ZFP229;ZFP867;ZFP60;C3;ZFP58;ZFP54;FADD;ZFP189;ZFP101;EIF2B4;ZFP235;BST2;MAVS;ZFP65;TRP53;CYCT;ZFP113;ZFP872;RBAK;ZFP112;ZFP111;ZFP595;ZFP870;ZFP128;H2-T24;ZFP764;H2-T22;ZFP763;ZFP768;TRADD;ZFP81;ZFP78;ZFP74;ZFP874B;ZFP874A;CASP3;EIF2B1;ALYREF2;IKBKE;ZFP760;ZFP930;ZFP935;ZFP93;TYK2;ZFP936;ZFP780B;ZFP85;IRF3;ZFP773;ZFP788;ZFP786;ZFP825;SRSF1;ZFP426;H2-Q2;OAS1B;ZFP947;H2-Q1;ZFP12;ZFP11;ZFP14;ZFP383;ZIM1;BID;ZFP663;ZFP300;ZFP266;ZFP420;ZFP386;ZFP661;ZFP952;ZFP950;STAT1;STAT2;ZFP317;ZFP558;ZFP712;ZFP959;ZFP354A;ZFP273;ZFP790;ZFP157;ZFP27;ZFP26
KEGG_2019_Mouse,Steroid biosynthesis,13/19,1.7521134899012448e-07,1.305324549976427e-05,0,0,12.553553213192792,195.29905299142737,DHCR24;MSMO1;LSS;CYP51;TM7SF2;SQLE;EBP;NSDHL;SOAT2;CYP2R1;SC5D;DHCR7;FDFT1
KEGG_2019_Mouse,Steroid hormone biosynthesis,31/89,1.947337952302681e-06,0.0001160613419572,0,0,3.1063267545153184,40.84523733343576,UGT2B1;AKR1D1;CYP3A11;AKR1C18;HSD17B6;COMT;CYP3A16;CYP7A1;CYP2C38;CYP2C37;CYP2B9;CYP2D12;CYP2B13;CYP2C55;CYP2C54;CYP2B10;HSD17B2;UGT2A3;CYP2C50;CYP2C70;UGT2B34;SRD5A2;HSD3B2;UGT2B37;CYP3A44;CYP2C29;CYP2C68;CYP2C23;CYP1A2;CYP2C40;CYP2E1
KEGG_2019_Mouse,Retinol metabolism,31/91,3.3292368101742704e-06,0.0001589473762604,0,0,3.0024290112897707,37.86893895368986,UGT2B1;CYP3A11;HSD17B6;CYP3A16;CYP2C38;CYP2C37;CYP2B9;ADH4;ADH1;CYP2B13;CYP2C55;AWAT2;RDH11;CYP2C54;CYP2B10;RDH10;UGT2A3;CYP2C50;LRAT;CYP2C70;UGT2B34;UGT2B37;CYP3A44;CYP2C29;CYP26A1;CYP2C68;CYP2A5;CYP2C23;CYP2A4;CYP1A2;CYP2C40
KEGG_2019_Mouse,Selenocompound metabolism,11/17,3.7336632007476775e-06,0.0001589473762604,0,0,10.615018688413183,132.66778495861706,SEPSECS;TXNRD2;MARS2;KYAT3;KYAT1;SCLY;SEPHS2;INMT;PAPSS2;PAPSS1;PSTK
KEGG_2019_Mouse,Mismatch repair,12/22,1.5981584625112916e-05,0.0005953140272854,0,0,6.948742352141401,76.74242098832143,MSH6;RFC3;RFC4;LIG1;MSH3;RPA3;POLD1;POLD2;RPA1;SSBP1;MLH1;MLH3
KEGG_2019_Mouse,Glutathione metabolism,22/64,7.29333824683619e-05,0.002414905330619,0,0,3.037809393880335,28.93806323599794,GSTM4;GSTM3;GSTM2;RRM1;GSTM1;GGT6;RRM2;GPX6;MGST3;IDH1;IDH2;GPX7;GSTT2;GSTT1;SRM;GGCT;GSTA4;GSTA3;NAT8F2;NAT8F1;CHAC2;GSTM6
KEGG_2019_Mouse,Purine metabolism,37/136,0.0001194934067031,0.0034214227876771,0,0,2.1713154860223765,19.611862913645407,PRPS2;GUCY2D;NPR2;AK1;PDE3B;AK2;NUDT2;AK3;AK4;NUDT5;PFAS;HDDC3;PAPSS2;PAPSS1;DGUOK;NT5E;ATIC;PPAT;ADSL;RRM1;URAH;RRM2;PKLR;PDE6G;URAD;ENTPD8;AMPD2;NME4;PAICS;DCK;ADCY9;NME6;ADSSL1;ALLC;GART;PDE9A;UOX
KEGG_2019_Mouse,Peroxisome,26/84,0.0001262941297464,0.0034214227876771,0,0,2.600857358206143,23.347628637995253,PECR;ABCD2;MVK;MPV17L;DDO;PEX26;PMVK;NUDT19;MPV17;ABCD1;NUDT12;IDH1;IDH2;PIPOX;PEX10;ACSL3;BAAT;PEX12;PEX7;GNPAT;NUDT7;SLC25A17;AMACR;CAT;ACOX3;PAOX
