Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Cytokine-cytokine receptor interaction,59/292,4.488331557911976e-16,1.2163378521941453e-13,0,0,3.975965665236052,140.51015126633786,CSF3R;EPO;MPL;CXCL1;CXCL13;CXCL14;CXCL2;TNFSF13B;IL18RAP;TNFRSF4;TNFRSF12A;IL1R1;IL1R2;OSMR;NGF;CSF2RB2;IL1A;IL1B;CCL11;IL4RA;IL20RB;CXCR4;CSF2RB;TNFRSF11A;IL2RG;CCL8;CCL7;CCL6;CCL5;CXCR2;CCL4;IL21R;CCL3;CCL2;CCL17;RELT;CCR1;CCL22;TGFB1;GDF15;TGFB3;IL31RA;LIF;BMP8A;TNFRSF10B;IFNLR1;INHBB;PPBP;GDF3;BMP6;INHBE;GDF9;CXCL10;IL6;FASL;TNFSF4;IL17F;IL7R;PF4
KEGG_2019_Mouse,IL-17 signaling pathway,24/91,8.849734857022601e-10,1.1991390731265625e-07,0,0,5.511405933296481,114.88781083608188,CEBPB;JUN;CCL11;JUND;MMP3;TNFAIP3;CXCL1;FOS;PTGS2;CXCL2;NFKBIA;FOSL1;CXCL10;IL6;CCL7;IL1B;TRAF5;LCN2;CCL2;FOSB;IL17F;S100A9;CCL17;S100A8
KEGG_2019_Mouse,MAPK signaling pathway,46/294,5.927607001144178e-09,5.354604991033575e-07,0,0,2.878342752075278,54.52630399315952,FLT1;HSPB1;AREG;DUSP16;RELB;IGF1R;DUSP10;MYC;FLNA;MAP3K8;CD14;MAP3K6;MAP4K4;FGF21;PRKCG;DUSP4;DUSP5;MAP3K3;PDGFRA;JUN;DUSP2;JUND;TGFB1;GADD45B;IL1R1;PRKCB;GADD45A;DUSP1;TGFB3;HGF;FOS;DUSP8;NGF;DUSP6;EREG;GADD45G;IL1A;NR4A1;FASL;KITL;DDIT3;IL1B;MAPKAPK2;RASA2;EPHA2;FGFR1
KEGG_2019_Mouse,Transcriptional misregulation in cancer,32/183,8.979609308952709e-08,6.083685306815459e-06,0,0,3.2674739516177707,53.01713172308813,CDKN1A;CEBPB;FLT1;DOT1L;JMJD1C;PLAT;MLLT3;IGF1R;MYC;NFKBIZ;CD14;UTY;BCL2A1A;GADD45B;H3F3B;GADD45A;IL1R2;ZBTB16;MMP3;KLF3;FLI1;DUSP6;RUNX1;GADD45G;IL6;NR4A3;DDIT3;MDM2;REL;BMP2K;BCL2L1;BIRC3
KEGG_2019_Mouse,Pathways in cancer,64/535,3.2231671339762535e-07,1.7469565866151295e-05,0,0,2.115119483218141,31.61623747584453,CDKN1A;CSF3R;EPO;LAMC3;SLC2A1;BBC3;IGF1R;RASSF1;MYC;PIM1;BDKRB2;PRKCG;PDGFRA;APAF1;PRKCB;ITGA2;HGF;FOS;RUNX1;CSF2RB2;TRAF5;PPARD;BIRC3;NOTCH3;GSTP2;ROCK2;GSTP1;IL4RA;LPAR1;ADCY3;CXCR4;CSF2RB;PTGS2;IL2RG;GNA13;BCL2L11;STAT4;HMOX1;PMAIP1;HES1;RALGDS;FGF21;JAG2;JUN;CDKN2B;TGFB1;GADD45B;CDKN2A;GADD45A;TGFB3;WNT7B;ZBTB16;TXNRD1;FZD9;GADD45G;NFKBIA;IL6;FASL;KITL;GSTA1;MDM2;IL7R;BCL2L1;FGFR1
KEGG_2019_Mouse,TNF signaling pathway,22/110,8.81043022741569e-07,3.333325383100208e-05,0,0,3.835866885784717,53.4802674752342,JUN;CEBPB;VCAM1;MMP3;LIF;TNFAIP3;CXCL1;FOS;PTGS2;SELE;CXCL2;NFKBIA;SOCS3;CXCL10;IL6;IL1B;CCL5;TRAF5;CCL2;MAP3K8;JUNB;BIRC3
KEGG_2019_Mouse,NF-kappa B signaling pathway,21/102,9.4266433295068e-07,3.333325383100208e-05,0,0,3.976160068114091,55.16745383718081,LYN;VCAM1;GADD45B;SYK;IL1R1;PRKCB;TNFAIP3;TNFRSF11A;PTGS2;CXCL2;TNFSF13B;RELB;NFKBIA;IL1B;TRAF5;CCL4;CD14;BCL2A1A;LAT;BCL2L1;BIRC3
KEGG_2019_Mouse,Hematopoietic cell lineage,20/94,9.84007493166113e-07,3.333325383100208e-05,0,0,4.143183380262954,57.306989170503705,CSF3R;EPO;IL1R1;ITGB3;IL1R2;ITGA2;IL4RA;GP5;IL1A;GP9;IL6;KITL;IL1B;CD38;CD37;CD14;IL7R;MS4A1;CD33;CD55
KEGG_2019_Mouse,Chemokine signaling pathway,31/197,1.536730074387112e-06,4.627265001765637e-05,0,0,2.8746359610627943,38.47945649407041,ITK;CCL11;ROCK2;ADCY3;CXCR4;CXCL1;CXCL13;CXCL14;CXCL2;PIK3R5;CCL8;GRK5;CCL7;CCL6;CCL5;CXCR2;CCL4;CCL3;CCL2;CCL17;LYN;CCR1;VAV3;CCL22;PRKCB;PRKCD;PPBP;NFKBIA;FGR;CXCL10;PF4
KEGG_2019_Mouse,Fluid shear stress and atherosclerosis,25/143,2.2500460943541574e-06,6.097624915699767e-05,0,0,3.253532236897216,42.31075471678296,NCF2;GSTP2;ITGB3;GSTP1;PLAT;ACTG1;THBD;CTSL;GPC1;HMOX1;CCL2;JUN;VCAM1;IL1R1;DUSP1;NOS3;IL1R2;FOS;SELE;KLF2;IL1A;IL1B;GSTA1;PECAM1;SQSTM1
